0.1	727.617	11038
0.1001	726.447	11006.8
0.1002	725.279	10975.8
0.1003	724.113	10944.8
0.1004	722.95	10914
0.1005	721.789	10883.3
0.1006	720.63	10852.7
0.1007	719.474	10822.2
0.1008	718.319	10791.9
0.1009	717.168	10761.6
0.101	716.018	10731.5
0.1011	714.871	10701.5
0.1012	713.726	10671.6
0.1013	712.583	10641.7
0.1014	711.442	10612.1
0.1015	710.304	10582.5
0.1016	709.168	10553
0.1017	708.035	10523.6
0.1018	706.903	10494.4
0.1019	705.774	10465.2
0.102	704.647	10436.2
0.1021	703.522	10407.2
0.1022	702.4	10378.4
0.1023	701.279	10349.7
0.1024	700.161	10321.1
0.1025	699.046	10292.5
0.1026	697.932	10264.1
0.1027	696.821	10235.8
0.1028	695.711	10207.6
0.1029	694.604	10179.5
0.103	693.5	10151.5
0.1031	692.397	10123.6
0.1032	691.297	10095.8
0.1033	690.198	10068.1
0.1034	689.102	10040.6
0.1035	688.008	10013.1
0.1036	686.917	9985.67
0.1037	685.827	9958.38
0.1038	684.74	9931.19
0.1039	683.654	9904.09
0.104	682.571	9877.09
0.1041	681.49	9850.19
0.1042	680.411	9823.39
0.1043	679.335	9796.68
0.1044	678.26	9770.07
0.1045	677.188	9743.56
0.1046	676.117	9717.14
0.1047	675.049	9690.81
0.1048	673.983	9664.58
0.1049	672.919	9638.45
0.105	671.857	9612.41
0.1051	670.798	9586.46
0.1052	669.74	9560.6
0.1053	668.684	9534.83
0.1054	667.631	9509.16
0.1055	666.986	9483.58
0.1056	665.936	9458.09
0.1057	664.888	9432.69
0.1058	663.843	9407.39
0.1059	662.8	9382.17
0.106	661.763	9357.04
0.1061	660.724	9332
0.1062	659.687	9307.05
0.1063	658.652	9282.18
0.1064	657.618	9257.41
0.1065	656.587	9232.72
0.1066	655.558	9208.12
0.1067	654.531	9183.61
0.1068	653.506	9159.18
0.1069	652.483	9134.84
0.107	651.462	9110.58
0.1071	650.443	9086.41
0.1072	649.426	9062.33
0.1073	648.411	9038.33
0.1074	647.398	9014.41
0.1075	646.387	8990.58
0.1076	645.379	8966.83
0.1077	644.372	8943.16
0.1078	643.367	8919.58
0.1079	642.364	8896.08
0.108	641.362	8872.66
0.1081	640.363	8849.32
0.1082	639.366	8826.07
0.1083	638.371	8802.89
0.1084	637.378	8779.8
0.1085	636.387	8756.78
0.1086	635.397	8733.85
0.1087	634.41	8710.99
0.1088	633.425	8688.22
0.1089	632.441	8665.52
0.109	631.46	8642.9
0.1091	630.48	8620.36
0.1092	629.503	8597.9
0.1093	628.527	8575.51
0.1094	627.553	8553.2
0.1095	626.581	8530.97
0.1096	625.611	8508.82
0.1097	624.643	8486.74
0.1098	623.677	8464.74
0.1099	622.712	8442.81
0.11	621.75	8420.96
0.1101	620.79	8399.18
0.1102	619.831	8377.48
0.1103	618.874	8355.85
0.1104	617.919	8334.29
0.1105	616.966	8312.81
0.1106	616.015	8291.41
0.1107	615.066	8270.07
0.1108	614.118	8248.81
0.1109	613.173	8227.62
0.111	612.229	8206.5
0.1111	611.287	8185.46
0.1112	619.726	8164.48
0.1113	618.787	8143.58
0.1114	617.849	8122.75
0.1115	616.913	8101.98
0.1116	615.979	8081.29
0.1117	615.047	8060.67
0.1118	614.117	8040.12
0.1119	613.188	8019.64
0.112	612.261	7999.22
0.1121	611.336	7978.88
0.1122	610.413	7958.6
0.1123	609.492	7938.39
0.1124	608.572	7918.25
0.1125	607.654	7898.18
0.1126	606.738	7878.17
0.1127	605.824	7858.24
0.1128	604.911	7838.36
0.1129	604	7818.56
0.113	603.091	7798.82
0.1131	602.184	7779.15
0.1132	601.278	7759.54
0.1133	600.374	7740
0.1134	599.472	7720.52
0.1135	598.809	7701.11
0.1136	597.911	7681.76
0.1137	597.014	7662.48
0.1138	596.119	7643.26
0.1139	595.226	7624.1
0.114	594.334	7605.01
0.1141	593.444	7585.98
0.1142	592.556	7567.02
0.1143	591.67	7548.12
0.1144	590.785	7529.28
0.1145	589.902	7510.5
0.1146	589.021	7491.78
0.1147	588.141	7473.13
0.1148	587.263	7454.53
0.1149	586.386	7436
0.115	585.512	7417.53
0.1151	584.639	7399.12
0.1152	583.768	7380.77
0.1153	582.898	7362.48
0.1154	582.03	7344.25
0.1155	581.164	7326.08
0.1156	580.299	7307.97
0.1157	579.436	7289.92
0.1158	578.575	7271.93
0.1159	577.715	7254
0.116	576.857	7236.12
0.1161	576.001	7218.31
0.1162	575.146	7200.55
0.1163	574.293	7182.85
0.1164	573.441	7165.2
0.1165	572.591	7147.62
0.1166	571.743	7130.09
0.1167	570.897	7112.62
0.1168	570.052	7095.2
0.1169	569.208	7077.84
0.117	568.366	7060.54
0.1171	567.526	7043.29
0.1172	566.688	7026.1
0.1173	565.851	7008.97
0.1174	565.015	6991.89
0.1175	564.182	6974.86
0.1176	563.349	6957.89
0.1177	562.519	6940.98
0.1178	561.69	6924.11
0.1179	560.862	6907.31
0.118	560.036	6890.55
0.1181	559.212	6873.85
0.1182	558.389	6857.21
0.1183	557.568	6840.62
0.1184	556.749	6824.08
0.1185	555.931	6807.59
0.1186	555.114	6791.16
0.1187	554.299	6774.77
0.1188	553.486	6758.45
0.1189	552.674	6742.17
0.119	551.864	6725.94
0.1191	551.055	6709.77
